    1      2      3      4      5      6      7      8      9      10
1   0.115  0.232  0.357  0.243  0.632  0.288  0.412  0.532  0.433  0.161
2   0.154  0.941  0.477  0.587  0.354  0.364  0.422  0.512  0.312  0.161
3   0.678  0.132  0.288  0.378  0.265  0.222  0.478  0.552  0.354  0.421
4   0.641  0.132  0.364  0.278  0.265  0.254  0.454  0.552  0.233  0.711
5   0.687  0.141  0.222  0.387  0.254  0.232  0.412  0.552  0.343  0.172
6   0.614  0.114  0.254  0.324  0.233  0.232  0.312  0.232  0.654  0.972
7   0.632  0.632  0.232  0.345  0.252  0.932  0.432  0.512  0.342  0.142
8   0.241  0.154  0.232  0.376  0.133  0.212  0.323  0.254  0.654  0.965
9   0.187  0.932  0.487  0.556  0.314  0.152  0.487  0.587  0.342  0.154
10  0.132  0.232  0.332  0.276  0.614  0.911  0.478  0.587  0.354  0.154
